score,votes,runtime,budget,gross,movie_status
5.4,2600.0,98.0,20000000.0,18826490.0,Flop
5.6,2600.0,92.0,6000000.0,9566593.0,Flop
5.5,4500.0,88.0,,20259961.0,Flop
6.0,891.0,112.0,,14923752.0,Flop
6.3,1300.0,101.0,,12042.0,Flop
4.9,3600.0,96.0,250000.0,,Flop
5.1,4900.0,93.0,8000000.0,26154211.0,Hit
6.5,5300.0,108.0,22000000.0,9171289.0,Flop
7.2,4400.0,96.0,1500000.0,,Flop
5.1,2000.0,98.0,18000000.0,12617845.0,Flop
5.2,1300.0,118.0,14000000.0,2022771.0,Flop
5.6,2400.0,88.0,,1169875.0,Flop
5.5,3600.0,106.0,3800000.0,,Flop
6.8,1100.0,103.0,2700000.0,3256082.0,Flop
5.9,1600.0,117.0,,14492125.0,Flop
6.5,4500.0,96.0,10000000.0,7258543.0,Flop
6.1,2900.0,94.0,11000000.0,31261269.0,Hit
7.0,3600.0,93.0,,2863642.0,Flop
4.3,1300.0,78.0,12000000.0,2154696.0,Flop
5.6,829.0,94.0,,11809387.0,Flop
5.0,761.0,100.0,3500000.0,17569027.0,Hit
6.8,1400.0,94.0,,1976198.0,Flop
7.3,2700.0,119.0,13000000.0,8206145.0,Flop
2.7,659.0,140.0,46000000.0,5200986.0,Flop
5.5,1700.0,87.0,14000000.0,4454295.0,Flop
5.6,1100.0,100.0,12000000.0,3702028.0,Flop
5.4,1100.0,116.0,16000000.0,10851261.0,Flop
6.5,1300.0,120.0,,25524778.0,Flop
5.2,928.0,107.0,24000000.0,2004742.0,Flop
4.9,920.0,94.0,,18838812.0,Flop
5.5,384.0,90.0,2000000.0,1791147.0,Flop
2.9,674.0,82.0,,,Flop
5.0,1200.0,96.0,,16000000.0,Flop
5.8,782.0,112.0,,6892098.0,Flop
5.1,101.0,100.0,,,Flop
5.1,499.0,91.0,,12000000.0,Flop
6.9,1100.0,129.0,,17110.0,Flop
6.3,228.0,94.0,,1622898.0,Flop
7.2,98000.0,90.0,4500000.0,27092880.0,Hit
8.1,710000.0,117.0,28000000.0,41676878.0,Flop
8.1,382000.0,109.0,15000000.0,19632053.0,Flop
6.9,141000.0,129.0,20000000.0,68851475.0,Hit
7.8,381000.0,115.0,10500000.0,792910554.0,Hit
7.7,234000.0,93.0,15000000.0,125212904.0,Hit
7.0,52000.0,124.0,7500000.0,129795554.0,Hit
4.4,34000.0,115.0,13200000.0,15171476.0,Flop
6.6,41000.0,127.0,50000000.0,57063861.0,Flop
7.3,148000.0,114.0,10700000.0,77142388.0,Hit
6.9,73000.0,96.0,12000000.0,78868508.0,Hit
7.7,115000.0,113.0,11200000.0,78912963.0,Hit
4.9,2500.0,100.0,,5588800.0,Flop
6.3,8100.0,92.0,,5829781.0,Flop
7.6,44000.0,150.0,12000000.0,30036000.0,Hit
8.0,220000.0,191.0,22000000.0,52767889.0,Hit
7.4,100000.0,116.0,21000000.0,177200000.0,Hit
6.8,115000.0,96.0,17000000.0,33000525.0,Flop
7.6,37000.0,82.0,7000000.0,14665733.0,Hit
7.8,94000.0,109.0,20000000.0,2536242.0,Flop
6.8,179000.0,99.0,17000000.0,125052686.0,Hit
6.2,22000.0,118.0,8000000.0,14056528.0,Flop
6.9,44000.0,120.0,8000000.0,21028755.0,Hit
7.3,8200.0,102.0,3500000.0,20659423.0,Hit
8.0,78000.0,95.0,12000000.0,22265763.0,Flop
6.2,20000.0,118.0,18000000.0,7000000.0,Flop
8.1,59000.0,188.0,6000000.0,6795771.0,Flop
5.7,49000.0,95.0,2300000.0,36690067.0,Hit
6.0,26000.0,136.0,18000000.0,46708276.0,Hit
5.0,45000.0,98.0,2500000.0,14400000.0,Hit
7.2,63000.0,93.0,15000000.0,41630431.0,Hit
7.7,37000.0,129.0,16000000.0,53993738.0,Hit
6.1,9300.0,85.0,300000.0,2032311.0,Hit
4.9,6500.0,98.0,,16897768.0,Flop
5.9,2800.0,108.0,,20225989.0,Flop
7.2,25000.0,136.0,17000000.0,29712172.0,Flop
7.1,19000.0,110.0,5000000.0,14099953.0,Hit
6.0,10000.0,114.0,35000000.0,69701637.0,Flop
7.1,20000.0,115.0,13000000.0,10278575.0,Flop
6.6,15000.0,106.0,,21095638.0,Flop
5.7,3900.0,98.0,,4968000.0,Flop
7.6,20000.0,134.0,,28229046.0,Flop
7.4,25000.0,92.0,3500000.0,6455330.0,Flop
6.7,15000.0,125.0,9000000.0,13277558.0,Flop
6.2,50000.0,85.0,15000000.0,27150534.0,Flop
5.8,11000.0,102.0,17000000.0,47118057.0,Hit
6.0,7800.0,91.0,425000.0,10604986.0,Hit
7.1,15000.0,117.0,10000000.0,6110670.0,Flop
5.6,5700.0,99.0,,39103425.0,Flop
6.0,15000.0,89.0,2000000.0,16100000.0,Hit
5.5,5300.0,103.0,4500000.0,10490791.0,Hit
3.7,3400.0,99.0,20000000.0,5675599.0,Flop
6.3,2600.0,128.0,16000000.0,5672311.0,Flop
6.9,21000.0,88.0,9000000.0,18196170.0,Hit
5.5,11000.0,104.0,5000000.0,12534817.0,Hit
7.7,19000.0,122.0,9500000.0,14000000.0,Flop
7.3,7300.0,140.0,,,Flop
4.9,1100.0,104.0,,11378339.0,Flop
6.7,3500.0,120.0,11300000.0,5301539.0,Flop
7.0,13000.0,116.0,,19282134.0,Flop
6.5,2000.0,103.0,,7400000.0,Flop
3.6,1700.0,83.0,750000.0,,Flop
5.9,1500.0,111.0,,1515578.0,Flop
6.5,2200.0,140.0,13000000.0,5005245.0,Flop
5.5,3000.0,96.0,,30688860.0,Flop
7.4,9000.0,92.0,,20123620.0,Flop
6.1,4300.0,93.0,10000000.0,5979947.0,Flop
3.9,2300.0,85.0,800000.0,2270.0,Flop
6.9,2500.0,113.0,,11897978.0,Flop
6.6,8200.0,122.0,2000000.0,4484991.0,Hit
5.6,3700.0,98.0,,7742572.0,Flop
7.2,4200.0,109.0,850000.0,840958.0,Flop
6.4,3000.0,125.0,6000000.0,2666873.0,Flop
5.0,9800.0,96.0,6000000.0,9056073.0,Flop
6.0,1800.0,91.0,,1054328.0,Flop
6.4,6100.0,108.0,22000000.0,6118683.0,Flop
6.0,1900.0,101.0,,15782759.0,Flop
6.6,19000.0,88.0,,9077269.0,Flop
6.5,2000.0,97.0,,13253583.0,Flop
5.5,2700.0,116.0,15000000.0,36821203.0,Hit
6.9,2500.0,124.0,12000000.0,9217530.0,Flop
5.1,684.0,105.0,17000000.0,946461.0,Flop
6.4,1500.0,90.0,11000000.0,1736123.0,Flop
5.7,3800.0,103.0,,13258670.0,Flop
4.9,501.0,95.0,,2370376.0,Flop
4.7,2000.0,84.0,,10054150.0,Flop
5.6,2400.0,110.0,,9823934.0,Flop
6.2,5100.0,110.0,,13111101.0,Flop
6.5,768.0,110.0,,263635.0,Flop
6.3,2000.0,108.0,,2977706.0,Flop
5.3,1100.0,96.0,4000000.0,6328816.0,Flop
5.7,1800.0,117.0,10000000.0,3583513.0,Flop
5.7,818.0,107.0,,6668025.0,Flop
7.0,3000.0,121.0,,3700.0,Flop
6.2,1100.0,87.0,5000000.0,3792188.0,Flop
5.6,2900.0,90.0,5000000.0,6660333.0,Flop
6.2,2100.0,90.0,,7241180.0,Flop
6.2,683.0,94.0,,143369.0,Flop
6.5,1300.0,107.0,10000000.0,8000000.0,Flop
5.9,914.0,97.0,,1474249.0,Flop
6.0,3100.0,90.0,7000000.0,21134374.0,Hit
3.5,322.0,90.0,,2914328.0,Flop
4.7,984.0,103.0,13400000.0,2869638.0,Flop
7.4,4100.0,112.0,,3723036.0,Flop
5.7,1500.0,87.0,,16894678.0,Flop
5.8,1400.0,97.0,,23671186.0,Flop
6.5,3000.0,97.0,,42914.0,Flop
6.1,1000.0,108.0,15000000.0,199078.0,Flop
4.4,538.0,108.0,,3178542.0,Flop
6.8,785.0,103.0,,8693512.0,Flop
5.3,1200.0,93.0,6000000.0,6062898.0,Flop
7.7,3900.0,82.0,,36299720.0,Flop
7.1,1800.0,74.0,,78350.0,Flop
5.1,838.0,121.0,,12408066.0,Flop
3.9,653.0,110.0,19000000.0,2279543.0,Flop
6.2,895.0,108.0,,6968359.0,Flop
7.2,1300.0,109.0,,3783329.0,Flop
6.1,460.0,98.0,,3355948.0,Flop
5.8,665.0,106.0,,22440.0,Flop
6.8,352.0,78.0,,,Flop
6.3,256.0,94.0,,5124391.0,Flop
5.7,253.0,96.0,,,Flop
3.8,651.0,98.0,10000.0,,Flop
7.0,240.0,80.0,,,Flop
6.7,75.0,90.0,435000.0,,Flop
6.8,336.0,106.0,,777087.0,Flop
8.3,766000.0,170.0,25000000.0,65884703.0,Hit
7.1,78000.0,91.0,10000000.0,25697647.0,Hit
8.3,973000.0,131.0,32500000.0,475106177.0,Hit
6.8,83000.0,99.0,6200000.0,63541777.0,Hit
7.4,100000.0,98.0,15000000.0,61399552.0,Hit
7.5,141000.0,116.0,15000000.0,90404800.0,Hit
5.0,66000.0,125.0,39000000.0,59950623.0,Flop
7.2,34000.0,105.0,8000000.0,56399659.0,Hit
4.7,15000.0,93.0,22000000.0,64892670.0,Hit
3.7,41000.0,99.0,20500000.0,87987055.0,Hit
6.7,75000.0,110.0,9700000.0,21017849.0,Hit
6.3,28000.0,84.0,350000.0,,Flop
6.2,50000.0,95.0,4000000.0,92921203.0,Hit
7.1,93000.0,114.0,12000000.0,79567667.0,Hit
7.8,57000.0,193.0,27000000.0,21192315.0,Flop
6.1,31000.0,121.0,47000000.0,16916617.0,Flop
4.9,2800.0,102.0,,24071666.0,Flop
7.2,65000.0,103.0,10000000.0,20766616.0,Hit
6.5,98000.0,131.0,27500000.0,67893619.0,Hit
5.3,6100.0,89.0,3500000.0,14049540.0,Hit
6.4,14000.0,99.0,350000.0,17343596.0,Hit
7.2,32000.0,94.0,10000000.0,2494480.0,Flop
7.2,86000.0,87.0,5952000.0,2120439.0,Flop
7.4,57000.0,132.0,8000000.0,108423749.0,Hit
6.5,34000.0,101.0,10000000.0,29450919.0,Hit
6.2,63000.0,134.0,36000000.0,55432841.0,Flop
7.9,134000.0,93.0,3300000.0,20653717.0,Hit
6.1,41000.0,93.0,5000000.0,21156152.0,Hit
6.6,42000.0,117.0,22000000.0,67642693.0,Hit
6.7,24000.0,97.0,,5988322.0,Flop
6.6,22000.0,91.0,,64783827.0,Flop
6.4,18000.0,109.0,22000000.0,42313354.0,Flop
5.9,8700.0,100.0,7500000.0,19910002.0,Hit
6.5,25000.0,113.0,5000000.0,34725000.0,Hit
7.4,22000.0,111.0,,5899678.0,Flop
7.2,14000.0,123.0,,9190819.0,Flop
7.2,19000.0,131.0,10000000.0,35615609.0,Hit
5.9,16000.0,91.0,5600000.0,17233166.0,Hit
5.7,11000.0,96.0,11000000.0,4218594.0,Flop
5.2,3300.0,97.0,,22587834.0,Flop
6.6,13000.0,133.0,12000000.0,40218899.0,Hit
6.6,10000.0,81.0,1200000.0,760883.0,Flop
